Country,Population,Net_Change,Density,Land_Area,Med_Age,Urban_Pop
Georgia,3987805,-7598,57,69490,38,0.58
Eritrea,3554797,49304,35,101000,19,0.63
Uruguay,3475842,11996,20,175020,36,0.96
Bosnia and Herzegovina,3277152,-20181,64,51000,43,0.52
Mongolia,3287242,53123,2,1553560,28,0.67
Armenia,2964219,5512,104,28470,35,0.63
Jamaica,2963429,12888,273,10830,31,0.55
Qatar,2889284,48986,248,11610,32,0.96
Albania,2877239,-3120,105,27400,36,0.63
Puerto Rico,2846860,-72555,323,8870,44,0.00
Lithuania,2715340,-37338,43,62674,45,0.71
Namibia,2548663,46375,3,823290,22,0.55
Gambia,2427782,68962,239,10120,18,0.59
Botswana,2359585,47930,4,566730,24,0.73
Gabon,2234448,53155,9,257670,23,0.87
Lesotho,2145194,16981,71,30360,24,0.31
North Macedonia,2083359,-85,83,25220,39,0.59
Slovenia,2078989,284,103,20140,45,0.55
Guinea-Bissau,1975718,47079,70,28120,19,0.45
Latvia,1882408,-20545,30,62200,44,0.69
Bahrain,1711057,60403,2239,760,32,0.89
Equatorial Guinea,1410419,46999,50,28050,22,0.73
Trinidad and Tobago,1400283,4515,273,5130,36,0.52
Estonia,1326693,887,31,42390,42,0.68
Timor-Leste,1322667,25326,89,14870,21,0.33
Mauritius,1272140,2100,626,2030,37,0.41
Cyprus,1208886,8784,131,9240,37,0.67
Eswatini,1162233,12034,67,17200,21,0.30
Djibouti,990447,14440,43,23180,27,0.79
Fiji,897573,6492,49,18270,28,0.59
Réunion,896422,6385,358,2500,36,1.00
Comoros,872695,18715,467,1861,20,0.29
Guyana,787215,3786,4,196850,27,0.27
Bhutan,773069,8516,20,38117,28,0.46
Solomon Islands,689671,17061,25,27990,20,0.23
Macao,650846,8890,21645,30,39,0.00
Montenegro,628080,79,47,13450,39,0.68
Luxembourg,627704,10249,242,2590,40,0.88
Western Sahara,599769,14876,2,266000,28,0.87
Suriname,587541,5260,4,156000,29,0.65
Cabo Verde,557026,6052,138,4030,28,0.68
Maldives,542151,9591,1802,300,30,0.35
Malta,441750,1171,1380,320,43,0.93
Brunei,438202,4194,83,5270,32,0.80
Guadeloupe,400136,68,237,1690,44,0.00
Belize,398845,7275,17,22810,25,0.46
Bahamas,393893,3762,39,10010,32,0.86
Martinique,375213,-289,354,1060,47,0.92
Iceland,341628,2212,3,100250,37,0.94
Vanuatu,308337,7263,25,12190,21,0.24
French Guiana,299958,7850,4,82200,25,0.87
Barbados,287437,350,668,430,40,0.31
New Caledonia,285972,2748,16,18280,34,0.72
French Polynesia,281191,1621,77,3660,34,0.64
Mayotte,273905,6665,728,375,20,0.46
Sao Tome & Principe,219844,4103,228,960,19,0.74
Samoa,198643,1317,70,2830,22,0.18
Saint Lucia,183774,837,301,610,34,0.19
Channel Islands,174140,1604,915,190,43,0.30
Guam,169031,1481,313,540,31,0.95
Curaçao,164211,669,370,444,42,0.89
Kiribati,119760,1843,147,810,23,0.57
Micronesia,115231,1208,164,700,24,0.21
Grenada,112614,520,331,340,32,0.35
St. Vincent & Grenadines,111002,351,284,390,33,0.53
Aruba,106845,452,593,180,41,0.44
Tonga,105901,1201,147,720,22,0.24
U.S. Virgin Islands,104398,-153,298,350,43,0.96
Seychelles,98453,608,214,460,34,0.56
Antigua and Barbuda,98069,811,223,440,34,0.26
Isle of Man,85112,449,149,570,0,0.53
Andorra,77287,123,164,470,0,0.88
Dominica,72017,178,96,750,0,0.74
Cayman Islands,65854,774,274,240,0,0.97
Bermuda,62237,-228,1246,50,0,0.97
Marshall Islands,59259,399,329,180,0,0.70
Northern Mariana Islands,57619,343,125,460,0,0.88
Greenland,56787,98,0,410450,0,0.87
American Samoa,55169,-121,276,200,0,0.88
Saint Kitts & Nevis,53264,376,205,260,0,0.33
Faeroe Islands,48896,185,35,1396,0,0.43
Sint Maarten,42960,488,1261,34,0,0.96
Monaco,39290,278,26337,1,0,0.00
Turks and Caicos,38806,526,41,950,0,0.89
Saint Martin,38778,664,730,53,0,0.00
